threshold,min_len,precision,recall,f1,alarms
0.34,2,0.15746912905693367,0.9890185312285518,0.27168174962292607,18302
0.34,3,0.1754589963280294,0.9838709677419355,0.2978082476368547,16340
0.34,4,0.19571781498764754,0.9787234042553191,0.32620382019901634,14572
0.34,5,0.2179054054054054,0.9739190116678106,0.35613000376458775,13024
0.36,1,0.16052543693643548,0.9897048730267674,0.27624521072796937,17966
0.36,2,0.18549330560249577,0.9794097460535347,0.31191256830601094,15386
0.36,3,0.21180086969560655,0.9694577899794098,0.3476495200590696,13338
0.36,4,0.24288194444444444,0.9601921757035004,0.3876957184425662,11520
0.36,5,0.2782407872276333,0.9509265614275909,0.43051347782179755,9959
0.38,1,0.16435383473245388,0.9876458476321208,0.2818115055079559,17511
0.38,2,0.19284793377213816,0.9752916952642416,0.3220214152172681,14737
0.38,3,0.2229107086113759,0.9629375428963624,0.3620178041543027,12588
0.38,4,0.2588960493135332,0.9512697323266986,0.40701857426033333,10707
0.38,5,0.3001205743724652,0.939601921757035,0.4549306305557863,9123
0.4,1,0.16874558719698754,0.9842141386410432,0.28809643395278756,16996
0.4,2,0.201125676831006,0.9687714481811942,0.33309734513274336,14036
0.4,3,0.23549343498517578,0.9540150995195608,0.37774305319654866,11805
0.4,4,0.277299868434369,0.9402882635552505,0.4282923016803439,9881
0.4,5,0.32515337423312884,0.9275909402882636,0.48151776966242094,8313
0.42,1,0.1737174811573061,0.9807824296499656,0.29515645977486316,16452
0.42,2,0.21021066046930054,0.9622512010981469,0.34504399187842244,13339
0.42,3,0.2496372869060573,0.9447494852436513,0.3949218189642806,11028
0.42,4,0.2979403017953519,0.9282772820864791,0.45109647294254984,9079
0.42,5,0.352543720190779,0.9131777625257378,0.508698145670044,7548
0.44,1,0.1792977137804724,0.9742621825669183,0.30285897162363984,15834
0.44,2,0.22121986268561392,0.9509265614275909,0.35893782383419687,12526
0.44,3,0.26734432053685975,0.9296499656829101,0.4152678776730283,10133
0.44,4,0.3247214399412269,0.910089224433768,0.4786571609060554,8167
0.44,5,0.3881108462455304,0.8939601921757035,0.5412424683149802,6712
0.46,1,0.1858991285978347,0.9663692518874399,0.3118148599269184,15148
0.46,2,0.23385300668151449,0.9368565545641729,0.3742802303262956,11674
0.46,3,0.2866083953814611,0.911461908030199,0.4360889910516378,9267
0.46,4,0.3510436432637571,0.8888126286890872,0.5033035367275553,7378
0.46,5,0.41980820105820105,0.8713109128345916,0.5666145949564829,6048
0.48,1,0.1927209705372617,0.9540150995195608,0.3206643981775189,14425
0.48,2,0.24639022584228062,0.9135209334248455,0.38810322204402975,10804
0.48,3,0.3061321880219518,0.880576527110501,0.4543201133144476,8382
0.48,4,0.37904209884075657,0.8527796842827728,0.5248152059134108,6556
0.48,5,0.45199106810569406,0.8335621139327385,0.5861486486486487,5374
0.5,1,0.2011136346985127,0.9420041180507893,0.33146169172251405,13649
0.5,2,0.2627818035426731,0.8960192175703501,0.4063813229571984,9936
0.5,3,0.3318765726393855,0.8599862731640356,0.4789297658862876,7551
0.5,4,0.41229564032697547,0.8308167467398765,0.5511040291372639,5872
0.5,5,0.4840686274509804,0.8133150308853809,0.6069142125480154,4896
