ResidualScore,Status,Risk,ISOScore,ISOScoreSmooth,AEScore,AEScoreSmooth,FinalRisk,PersistFlag,PredictedStage
0.31753492,1,0.15783669,0.9999999731863455,0.9999999731863455,0.0005648853,0.0004437524173408747,0.5215557,0,0
0.3178962,1,0.15801753,0.9999999731863455,0.9999999731863455,0.00058697566,0.0004514235956594348,0.5215557,0,0
0.28967327,1,0.14389046,0.9999999731863455,0.9999999731863455,0.00048488748,0.00045567649067379534,0.51767415,0,0
0.29407492,1,0.14609371,0.9999999731863455,0.9999999731863455,0.00046257477,0.0004581662523560226,0.51767415,0,0
0.29640505,1,0.14726007,0.9999999731863455,0.9999999731863455,0.00048507904,0.0004611645289696753,0.51767415,0,0
0.30041665,1,0.14926809,0.9999999731863455,0.9999999731863455,0.00049036014,0.00046337609644979237,0.51767415,0,0
0.2936458,1,0.14587893,0.9999999731863455,0.9999999731863455,0.0005062395,0.0004660506080836058,0.51767415,0,0
0.2947139,1,0.14641356,0.9999999731863455,0.9999999731863455,0.00047396423,0.0004680346231907606,0.51767415,0,0
0.2964545,1,0.14728482,0.9999999731863455,0.9999999731863455,0.00049674325,0.0004702594608534127,0.51767415,0,0
0.30082965,1,0.14947481,0.9999999731863455,0.9999999731863455,0.00049829175,0.00047320031095296147,0.51767415,0,0
0.3062972,1,0.15221162,0.9999999731863455,0.9999999731863455,0.00051948376,0.0004764546325895935,0.5215557,0,0
0.30581203,1,0.15196876,0.9999999731863455,0.9999999731863455,0.00052393525,0.00048038718290627,0.5215557,0,0
0.3105511,1,0.15434092,0.9999999731863455,0.9999999731863455,0.0005425206,0.00048451467184349893,0.5215557,0,0
0.31281915,1,0.1554762,0.9999999731863455,0.9999999731863455,0.0005705298,0.0004898181417956948,0.5215557,0,0
0.31778088,1,0.15795982,0.9999999731863455,0.9999999731863455,0.00058423146,0.0004956034373026342,0.5215557,0,0
0.3228617,1,0.16050303,0.9999999731863455,0.9999999731863455,0.0006395141,0.0005026018735952675,0.5109548,0,0
0.32175797,1,0.15995055,0.9999999731863455,0.9999999731863455,0.0006258479,0.0005090521089732647,0.5109548,0,0
0.3232842,1,0.16071452,0.9999999731863455,0.9999999731863455,0.0006089374,0.0005155336472671479,0.5109548,0,0
0.32989255,1,0.16402234,0.9999999731863455,0.9999999731863455,0.0006524753,0.0005228384467773139,0.5109548,0,0
0.34145048,1,0.1698077,0.9999999731863455,0.9999999731863455,0.00070756616,0.000532589218346402,0.5109548,0,0
0.34619686,1,0.17218353,0.9999999731863455,0.9999999731863455,0.00077493157,0.0005449488037265837,0.5109548,0,0
0.3478489,1,0.17301045,0.9999999731863455,0.9999999731863455,0.00079047953,0.0005590250925160945,0.5109548,0,0
0.35099828,1,0.17458689,0.9999999731863455,0.9999999731863455,0.00079208205,0.0005726056825369597,0.5109548,0,0
0.35354036,1,0.17585933,0.9999999731863455,0.9999999731863455,0.0008280934,0.0005875461269170046,0.5109548,0,0
0.3538515,1,0.17601508,0.9999999731863455,0.9999999731863455,0.0008333042,0.0006017573422286659,0.5109548,0,0
0.35827723,1,0.17823039,0.9999999731863455,0.9999999731863455,0.00084643316,0.0006130192556884139,0.5109548,0,0
0.36488062,1,0.18153574,0.9999999731863455,0.9999999731863455,0.00089194445,0.0006252180074807257,0.5109548,0,0
0.36376792,1,0.18097878,0.9999999731863455,0.9999999731863455,0.00089262147,0.0006415273668244481,0.5109548,0,0
0.36544114,1,0.18181631,0.9999999731863455,0.9999999731863455,0.0009197322,0.0006598136643879115,0.5109548,0,0
0.3644685,1,0.18132944,0.9999999731863455,0.9999999731863455,0.0009082169,0.0006767391797620803,0.5109548,0,0
0.36655897,1,0.18237583,0.9999999731863455,0.9999999731863455,0.0008914342,0.0006927821424324065,0.5109548,0,0
0.36697635,1,0.18258476,0.9999999731863455,0.9999999731863455,0.0009089846,0.0007088919484522193,0.5109548,0,0
0.37074524,1,0.1844713,0.9999999731863455,0.9999999731863455,0.0009143159,0.0007265060162171722,0.5109548,0,0
0.37395987,1,0.18608038,0.9999999731863455,0.9999999731863455,0.0009344441,0.0007440140494145452,0.5109548,0,0
0.3782147,1,0.18821014,0.9999999731863455,0.9999999731863455,0.0010037479,0.0007642322964966298,0.5109548,0,0
0.381105,1,0.1896569,0.9999999731863455,0.9999999731863455,0.001005509,0.0007836733083240688,0.5109548,0,0
0.38830477,1,0.19326077,0.9999999731863455,0.9999999731863455,0.0010669015,0.0008053919579833746,0.5109548,0,0
0.38229793,1,0.19025403,0.9999999731863455,0.9999999731863455,0.0010803064,0.0008269033883698284,0.5109548,0,0
0.38579053,1,0.19200225,0.9999999731863455,0.9999999731863455,0.0010727802,0.0008469934063032269,0.5109548,0,0
0.3987537,1,0.19849102,0.9999999731863455,0.9999999731863455,0.0011668208,0.000870296978391707,0.5109548,0,0
0.40131402,1,0.1997726,0.9999999731863455,0.9999999731863455,0.0012206427,0.000893542121630162,0.5109548,0,0
0.39838707,1,0.1983075,0.9999999731863455,0.9999999731863455,0.001201238,0.0009165577264502644,0.5109548,0,0
0.40158072,1,0.1999061,0.9999999731863455,0.9999999731863455,0.0011992364,0.0009401696850545704,0.5109548,0,0
0.4050284,1,0.20163184,0.9999999731863455,0.9999999731863455,0.0012351805,0.000963477895129472,0.5109548,0,0
0.4357633,1,0.2170163,0.9999999731863455,0.9999999731863455,0.0015229293,0.0009960924205370248,0.5109548,0,0
0.44040364,1,0.21933903,0.9999999731863455,0.9999999731863455,0.0016129082,0.0010296114860102535,0.5109548,0,0
0.4396325,1,0.21895303,0.9999999731863455,0.9999999731863455,0.0016175022,0.0010626923921518028,0.5109548,0,0
0.44132057,1,0.219798,0.9999999731863455,0.9999999731863455,0.0015835862,0.001094352558720857,0.5109548,0,0
0.44542542,1,0.22185269,0.9999999731863455,0.9999999731863455,0.0016319226,0.0011265057255513966,0.5109548,0,0
0.4544762,1,0.22638309,0.9999999731863455,0.9999999731863455,0.001737635,0.0011626789579167961,0.5260781,0,0
0.45416766,1,0.22622865,0.9999999731863455,0.9999999731863455,0.0017643247,0.001199394620489329,0.5260781,0,0
0.45937926,1,0.22883733,0.9999999731863455,0.9999999731863455,0.0018107151,0.0012361454451456665,0.5260781,0,0
0.46518236,1,0.2317421,0.9999999731863455,0.9999999731863455,0.0018911827,0.0012760878959670663,0.5260781,0,0
0.46940136,1,0.23385392,0.9999999731863455,0.9999999731863455,0.0019851245,0.0013187035894952715,0.5260781,0,0
0.4694458,1,0.23387617,0.9999999731863455,0.9999999731863455,0.0019911441,0.0013620206783525645,0.5260781,0,0
0.47209305,1,0.23520125,0.9999999731863455,0.9999999731863455,0.001988907,0.0014059195946902036,0.5260781,0,0
