ResidualScore,RiskTCN,ISOScore,AEScore,DriftScore,DriftFlag,FusionRisk,TrueLabel,FinalAlarm
0.24596882,0.1259199,0.19849033315734488,0.058457084,0.07475830453137555,0,0.0032941722,0,0
0.867273,0.5909153,0.8320891567836106,0.10475387,0.0004904422909021156,0,0.99768543,1,1
0.45403036,0.28163695,0.02325362144276703,0.019703157,0.008670764788985263,0,0.0015930375,0,0
0.30190015,0.16777992,0.16675685575604393,0.047970176,0.056830681736270594,0,0.038665947,0,0
0.66393816,0.4387358,0.2677578331112452,0.19877985,0.012890924885869015,0,0.12831832,0,0
0.6363193,0.41806534,0.19430122293512947,0.10297477,0.056207287435730335,0,0.1411758,0,0
0.5689955,0.36767894,0.19908734992152985,0.07116303,0.008894266809026385,0,0.055117916,0,0
0.5794097,0.37547317,0.29827700860872997,0.010045897,0.025384958709279704,0,0.006604437,0,0
0.5186661,0.33001152,0.066982115554541,0.01988482,0.05597694727281732,0,0.006568022,0,0
0.54416,0.34909162,0.6046086052708589,0.08060477,0.03540583464006586,0,0.7493596,0,0
0.42459878,0.25960982,0.06875277309250094,0.07916907,0.012490749483307195,0,0.008684557,0,0
0.75224835,0.50482875,0.6871357705154064,0.565853,0.03399274162948129,0,0.20010053,0,0
0.33754724,0.19445886,0.13526889415208906,0.06392805,0.0011898014694452508,0,0.17861478,0,0
0.81369674,0.55081785,0.5187967562969897,0.050430913,0.039159653211633394,0,0.19060573,0,0
0.32783082,0.18718691,0.03320166489367033,0.005525773,0.015226669237017654,0,0.0018796328,0,0
0.9933613,0.6852821,0.7958216142820603,0.28320011,0.09498879425227641,0,0.6054126,0,0
0.608246,0.3970548,0.4392797823436813,0.016092407,0.06881455195446812,0,0.03910609,0,0
0.4950455,0.31233343,0.08491338912507616,0.07712181,0.09418830089271069,0,0.015405859,0,0
0.30435818,0.16961956,0.11083581959596238,0.013157027,0.02914230041205884,0,0.0025696296,0,0
0.58789396,0.38182294,0.1571261655582287,0.13312933,0.07214802019298072,0,0.004439289,0,0
0.18942976,0.083605036,0.31229680761071493,0.0097345235,0.04351683494945369,0,0.081247084,0,0
0.5199888,0.33100143,0.033357072033606404,0.011605825,0.05930163599550725,0,0.0066831387,0,0
0.32146275,0.18242094,0.11056336967135345,0.1521449,0.0904021203517914,0,0.0032667522,0,0
0.47639665,0.2983763,0.03449359303473937,0.056135587,0.07174848069747286,0,0.042836055,0,0
0.53429574,0.34170902,0.0726377086732953,0.025012186,0.08274974673986435,0,0.012480787,0,0
0.96164143,0.66154236,0.8688901937968202,0.23966077,0.02612434973319372,0,0.99326175,1,1
0.41911554,0.25550607,0.08553060487664668,0.08516737,0.008572426935037014,0,0.0032455625,0,0
0.52222764,0.33267704,0.3526136863460082,0.11965066,0.03625353425741196,0,0.14082207,0,0
0.71043146,0.47353223,0.31310269952669717,0.06928962,0.07221197038888932,0,0.29446575,0,0
0.67571664,0.44755104,0.49865272228946095,0.27626607,0.08428691426912943,0,0.029413695,0,0
0.5915864,0.38458645,0.24377146470891548,0.15677631,0.02027351508537928,0,0.051135916,0,0
0.5296422,0.33822626,0.1388054412242729,0.06002937,0.04524052192767464,0,0.056901943,0,0
0.49082428,0.3091742,0.19280966839375308,0.07584386,0.03962204804023106,0,0.16588187,0,0
0.45691118,0.283793,0.06404046609625978,0.03285904,0.002192900081475546,0,0.012934127,0,0
0.13050328,0.039503384,0.43668677466837685,0.05406472,0.07049468395610653,0,0.009849805,0,0
0.63089436,0.41400522,0.20424413430204355,0.10200884,0.06447559334337716,0,0.041385636,0,0
0.50211465,0.31762412,0.19240556581388762,0.14061278,0.06692752676705521,0,0.0026602333,0,0
0.47785467,0.2994675,0.13232213461514872,0.005163526,0.06633534568051497,0,0.028768847,0,0
0.41933185,0.25566795,0.08756260133058864,0.044966493,0.06948223647971946,0,0.020601256,0,0
0.45729393,0.28407946,0.12080841931186811,0.18632016,0.01839994899928571,0,0.0051025674,0,0
0.53121054,0.33940002,0.11898599999853025,0.019812185,0.03598066183427967,0,0.14117861,0,0
0.6105715,0.39879522,0.08427085180582496,0.012041767,0.016211991632978096,0,0.12860005,0,0
0.65203184,0.4298249,0.3831703464749295,0.02795656,0.0020139509191115512,0,0.05466322,0,0
0.67009556,0.44334412,0.27862734751615925,0.060831446,0.04313164092600347,0,0.6828237,0,0
0.6229216,0.40803826,0.21687038451168705,0.15630743,0.060561688616871834,0,0.024426118,0,0
0.5096873,0.32329163,0.01846564441143088,0.021640977,0.06940635927021499,0,0.003030191,0,0
0.4213864,0.2572056,0.04551404447307074,0.021411117,0.045750076447924004,0,0.02878234,0,0
0.5326123,0.34044912,0.24393794209259906,0.5091315,0.026937733963131927,0,0.008296042,0,0
0.2691142,0.14324231,0.13067670963257003,0.0150783155,0.032203384861350104,0,0.016727064,0,0
0.58329284,0.37837937,0.14902141249988068,0.08583894,0.03802037599186098,0,0.018770413,0,0
0.39666975,0.23870723,0.02545264922387383,0.0070771333,0.06010732911527156,0,0.0013797928,0,0
1.1195555,0.7797281,0.8414473514188078,0.15296549,0.029439616575837102,0,0.87238616,0,1
0.5332798,0.34094867,0.1531521666804512,0.01635517,0.024255268151561427,0,0.23438026,0,0
0.5170301,0.32878712,0.37965246997499297,0.7279025,0.06035053469240664,0,0.0039907503,0,0
0.6849062,0.45442867,0.2601122377318996,0.22471096,0.07180307246744633,0,0.009468855,0,0
0.40776664,0.24701235,0.14851147072684762,0.27778634,0.08728176293273765,0,0.0010634759,0,0
0.5864677,0.38075548,0.1417232927975258,0.025852391,0.003312256311376882,0,0.35099941,0,0
0.5367265,0.34352824,0.07386087259635288,0.038242135,0.0034664634615182988,0,0.27735975,0,0
0.44466075,0.27462456,0.11194404603352781,0.114566825,0.0007357931385437722,0,0.002607713,0,0
0.9952566,0.6867006,0.8890577337032108,0.5243485,0.03774693744877977,0,0.98219097,0,1
0.40909672,0.2480078,0.15390202329817892,0.03428224,0.04249865052600704,0,0.018923875,0,0
0.4366507,0.2686297,0.049650909551224996,0.023821615,0.022393378987908386,0,0.010822629,0,0
0.3674218,0.21681753,0.049391885232136265,0.06915186,0.0001297924667596484,0,0.0072921594,0,0
0.596362,0.3881606,0.3128713908567744,0.050336733,0.01935807901124159,0,0.02486094,0,0
0.6932707,0.4606888,0.31565405244909794,0.27063492,0.039883791406949365,0,0.5501511,1,0
0.8535447,0.5806408,0.5505254018209297,0.363763,0.021088287234306335,0,0.0805349,0,0
0.6048845,0.39453897,0.3995820465343631,0.29482043,0.04370631277561188,0,0.03164107,0,0
0.45295006,0.28082845,0.14217921797847408,0.20683323,0.05712979833285009,0,0.0018977987,0,0
