ResidualScore,Status,Scenario,Risk
0.1420628,1,carton_2.csv,0.0215069
0.15070193,1,carton_2.csv,0.022854207
0.15776502,1,carton_2.csv,0.023955725
0.16844782,1,carton_2.csv,0.025621751
0.17585836,1,carton_2.csv,0.026777456
0.19014247,1,carton_2.csv,0.029005118
0.195106,1,carton_2.csv,0.029779201
0.20375133,1,carton_2.csv,0.031127475
0.20774707,1,carton_2.csv,0.031750627
0.20781776,1,carton_2.csv,0.031761654
0.21481529,1,carton_2.csv,0.032852944
0.22315124,1,carton_2.csv,0.03415297
0.23239648,1,carton_2.csv,0.035594802
0.22159071,1,carton_2.csv,0.0339096
0.23089023,1,carton_2.csv,0.035359897
0.2515646,1,carton_2.csv,0.038584147
0.23703802,1,carton_2.csv,0.036318667
0.22028914,1,carton_2.csv,0.033706613
0.23814408,1,carton_2.csv,0.036491163
0.2465516,1,carton_2.csv,0.03780235
0.26757237,1,carton_2.csv,0.041080624
0.25816783,1,carton_2.csv,0.039613947
0.2575286,1,carton_2.csv,0.03951426
0.258429,1,carton_2.csv,0.039654676
0.26583236,1,carton_2.csv,0.040809263
0.2676348,1,carton_2.csv,0.04109036
0.2509542,1,carton_2.csv,0.038488954
0.26100937,1,carton_2.csv,0.040057097
0.26847282,1,carton_2.csv,0.041221052
0.2813682,1,carton_2.csv,0.04323214
0.30238074,1,carton_2.csv,0.04650913
0.31297225,1,carton_2.csv,0.048160918
0.3248074,1,carton_2.csv,0.050006658
0.33268085,1,carton_2.csv,0.051234554
0.331057,1,carton_2.csv,0.05098131
0.33790767,1,carton_2.csv,0.0520497
0.3363981,1,carton_2.csv,0.051814273
0.3395657,1,carton_2.csv,0.052308273
0.34621873,1,carton_2.csv,0.053345844
0.35182092,1,carton_2.csv,0.054219525
0.35016146,1,carton_2.csv,0.053960726
0.35079607,1,carton_2.csv,0.054059695
0.34987482,1,carton_2.csv,0.053916026
0.34536654,1,carton_2.csv,0.05321294
0.34468243,1,carton_2.csv,0.05310625
0.34209797,1,carton_2.csv,0.05270319
0.3255078,1,carton_2.csv,0.050115887
0.32028022,1,carton_2.csv,0.049300626
0.3140859,1,carton_2.csv,0.0483346
0.31405038,1,carton_2.csv,0.04832906
0.31940705,1,carton_2.csv,0.04916445
0.321731,1,carton_2.csv,0.04952688
0.32078177,1,carton_2.csv,0.049378846
0.32656074,1,carton_2.csv,0.050280098
0.33134446,1,carton_2.csv,0.05102614
0.33534533,1,carton_2.csv,0.051650092
0.33566442,1,carton_2.csv,0.051699854
0.33967978,1,carton_2.csv,0.052326065
0.34433097,1,carton_2.csv,0.05305144
0.34437242,1,carton_2.csv,0.0530579
0.34405953,1,carton_2.csv,0.053009104
0.32769376,1,carton_2.csv,0.0504568
0.35087213,1,carton_2.csv,0.054071557
0.35114312,1,carton_2.csv,0.05411382
0.35789138,1,carton_2.csv,0.055166237
0.3623086,1,carton_2.csv,0.05585512
0.35943937,1,carton_2.csv,0.055407654
0.35002762,1,carton_2.csv,0.053939853
0.35155645,1,carton_2.csv,0.054178283
0.35040712,1,carton_2.csv,0.05399904
0.35043454,1,carton_2.csv,0.054003313
0.34656888,1,carton_2.csv,0.05340045
0.35005635,1,carton_2.csv,0.053944334
0.34541723,1,carton_2.csv,0.053220846
0.34893113,1,carton_2.csv,0.05376885
0.3521629,1,carton_2.csv,0.05427286
0.34804183,1,carton_2.csv,0.053630162
0.34755412,1,carton_2.csv,0.053554103
0.34154165,1,carton_2.csv,0.052616432
0.3377121,1,carton_2.csv,0.0520192
0.3338697,1,carton_2.csv,0.05141996
0.32839805,1,carton_2.csv,0.050566636
0.31852606,1,carton_2.csv,0.04902706
0.3136446,1,carton_2.csv,0.048265774
0.3060146,1,carton_2.csv,0.047075845
0.29477134,1,carton_2.csv,0.045322414
0.29283288,1,carton_2.csv,0.045020103
0.31808534,1,carton_2.csv,0.048958328
0.29950488,1,carton_2.csv,0.04606063
0.29103765,1,carton_2.csv,0.04474013
0.29767376,1,carton_2.csv,0.04577506
0.31985098,1,carton_2.csv,0.049233686
0.30433556,1,carton_2.csv,0.046813995
0.30512446,1,carton_2.csv,0.046937026
0.30413622,1,carton_2.csv,0.046782903
0.2956118,1,carton_2.csv,0.045453485
0.30292985,1,carton_2.csv,0.046594765
0.32750806,1,carton_2.csv,0.05042784
0.30890206,1,carton_2.csv,0.047526155
0.30231875,1,carton_2.csv,0.046499465
0.30944198,1,carton_2.csv,0.04761036
0.31767282,1,carton_2.csv,0.04889399
0.31729835,1,carton_2.csv,0.04883559
0.32189274,1,carton_2.csv,0.049552105
0.32048267,1,carton_2.csv,0.049332198
0.32008326,1,carton_2.csv,0.04926991
0.3228547,1,carton_2.csv,0.049702127
0.32346934,1,carton_2.csv,0.049797982
0.3237806,1,carton_2.csv,0.049846523
0.32401735,1,carton_2.csv,0.049883448
0.32771945,1,carton_2.csv,0.050460804
0.32767102,1,carton_2.csv,0.050453253
0.33603317,1,carton_2.csv,0.05175736
0.3452826,1,carton_2.csv,0.05319985
0.35049972,1,carton_2.csv,0.05401348
0.3531279,1,carton_2.csv,0.054423355
