ResidualScore,Risk
0.6506754,0.4813391
0.8052603,0.615038
0.36739153,0.23632976
0.46241197,0.318512
0.3376214,0.21058188
0.4440206,0.30260548
0.3925529,0.2580916
0.5559372,0.39940098
0.44075733,0.2997831
0.52721196,0.37455684
0.5692594,0.41092324
0.39245424,0.25800624
0.4249279,0.28609237
0.35249773,0.22344828
0.46942884,0.3245808
0.6219878,0.45652747
0.44284588,0.30158946
0.4240306,0.28531632
0.3723476,0.24061622
0.77246225,0.5866713
0.45685548,0.31370622
0.37572366,0.24353614
0.22452354,0.1127647
0.3053722,0.18268989
0.30426836,0.18173519
0.44761848,0.30571726
0.46798682,0.32333362
0.36565462,0.23482753
0.5786723,0.41906434
0.7123699,0.53469807
0.5168851,0.36562523
0.20982072,0.10004837
0.19041228,0.08326221
0.3644585,0.23379302
0.63860726,0.47090146
0.39731747,0.2622124
0.5948601,0.43306497
0.63083136,0.46417618
0.13680549,0.03689824
0.44369274,0.3023219
0.45344868,0.31075972
0.43954888,0.2987379
0.69980955,0.5238347
0.6325325,0.46564746
0.59037256,0.4291838
0.31020075,0.18686604
0.6058792,0.4425953
0.47448987,0.32895803
0.42631856,0.28729516
0.57568294,0.4164789
0.5139397,0.36307776
0.3081089,0.18505682
0.4375568,0.297015
0.3799108,0.24715756
0.39756447,0.26242605
0.48973313,0.34214178
0.66465366,0.49342874
0.90685713,0.70290804
0.3530152,0.22389583
0.99695396,0.7808319
0.44967014,0.3074917
0.49805722,0.34934118
0.5378577,0.38376424
0.6712096,0.49909887
0.44028157,0.29937163
0.4035651,0.26761594
0.3966597,0.2616435
0.5186659,0.36716545
0.33701423,0.21005675
0.4407002,0.2997337
0.54323107,0.3884116
0.6612216,0.4904604
0.64087343,0.47286147
0.43605542,0.29571646
0.6842009,0.5103349
1.076211,0.8493805
0.41461357,0.27717164
0.42200246,0.2835622
0.5711004,0.41251552
0.48815364,0.3407757
0.8356825,0.64134985
0.5010954,0.3519689
0.9881827,0.77324575
0.71754634,0.5391751
0.43673497,0.2963042
0.7791427,0.5924491
0.50269973,0.35335645
0.2734776,0.15510458
0.42321762,0.2846132
0.60221577,0.43942684
0.14077549,0.04033185
0.384683,0.251285
0.6026862,0.43983373
0.8407384,0.6457226
0.4599498,0.31638247
0.23821536,0.12460661
0.6464311,0.47766823
0.517403,0.36607316
0.38760534,0.2538125
0.2670829,0.14957385
0.5372081,0.38320237
0.4696301,0.32475486
0.26580626,0.1484697
0.38296938,0.24980289
0.5012404,0.35209426
0.28372204,0.16396488
0.7310979,0.5508957
0.38480207,0.25138798
0.8631894,0.6651403
0.558751,0.4018346
0.4442932,0.30284125
0.84837615,0.65232843
0.49506244,0.34675103
0.1450328,0.04401395
0.32596117,0.20049708
0.45752484,0.31428516
1.2503598,1.0
